area,eccRange,route,emptyCells,medVertPerCell,reportable,experiment,asymmetry,n,equal,equal_lo,equal_hi,equal_p,weighted,weighted_lo,weighted_hi,weighted_p,tau,mean_sigma,weight_ratio
V3a,4-8,harmonic,4,18.5,0,dg,horiz-vert,8,-0.0744424839973761,-0.184840383234835,0.0359554152400823,0.154855430862662,-0.0630840432656046,-0.166452178856902,0.0402840923256926,0.19220844210204,0.0941649146047726,0.0925775003627702,2.88337400114338
V3a,4-8,harmonic,4,18.5,0,dg,card-obl,8,-0.151879860770436,-0.266377051693695,-0.0373826698471765,0.0164557919635852,-0.129985945179725,-0.238842095938214,-0.0211297944212353,0.0256399110638519,0.115731314846509,0.0732319395210785,2.74484514321533
V3a,4-8,harmonic,4,18.5,0,dg,rad-tang,8,0.0209516248003759,-0.0342605981647352,0.0761638477654871,0.399359669527288,0.0276063349438769,-0.023522989963479,0.0787356598512329,0.242415539053991,0.0482309621742221,0.0451140474477353,3.14083578941594
V3a,4-8,harmonic,4,18.5,0,dg,polc-polo,8,0.03126981516295,0.00542373017062809,0.0571159001552719,0.0243085714305559,0.0335710657336352,0.00957807123976701,0.0575640602275034,0.0129666788242699,0.0177590515622749,0.0253059312926846,3.31763160226428
V3a,4-8,harmonic,4,18.5,0,da,horiz-vert,8,-0.00407275714336363,-0.0526061916965707,0.0444606774098434,0.848347804306567,0.00551074887063479,-0.041065795595414,0.0520872933366836,0.78773842743102,0.043446287250775,0.0385040090165232,2.15080413184679
V3a,4-8,harmonic,4,18.5,0,da,card-obl,8,-0.00189587243652505,-0.0314683979874297,0.0276766531143796,0.883783426703451,-0.00684111700516565,-0.0341716605118938,0.0204894265015625,0.572536627953268,0.0168635105167102,0.0310944938014802,3.70416569787125
V3a,4-8,harmonic,4,18.5,0,da,rad-tang,8,0.150773220870608,0.088581459422824,0.212964982318391,0.000711010044420544,0.165388764363948,0.105437802430643,0.225339726297254,0.00032687970010703,0,0.0835498413387265,5.70738740287448
V3a,4-8,harmonic,4,18.5,0,da,polc-polo,8,-0.00458849163400267,-0.0466727996444087,0.0374958163764033,0.803963217763737,0.0217837275354911,-0.017601785175469,0.0611692402464512,0.232235008256316,0,0.0628216692382516,15.3833282952811
V3a,4-8,harmonic,4,18.5,0,dg-da,horiz-vert,8,-0.0703697268540125,-0.204561545400898,0.0638220916928732,0.254927051539796,-0.063744746264504,-0.19355111090022,0.0660616183712124,0.28361889909847,0.125343984108124,0.100265409208576,2.22027662578713
V3a,4-8,harmonic,4,18.5,0,dg-da,card-obl,8,-0.149983988333911,-0.27360539698086,-0.0263625796869611,0.0240302361266101,-0.128990763357218,-0.247769689101959,-0.0102118376124778,0.0371203460790739,0.12464107213359,0.0795599428782424,2.52054734897032
