area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V3,da,horiz-vert,sub-0255,0.0104405132134802,0.850901299741602,722,4-8
V3,da,card-obl,sub-0255,-0.0115482278607738,0.850901299741602,722,4-8
V3,da,rad-tang,sub-0255,0.128961691781684,0.850901299741602,722,4-8
V3,da,polc-polo,sub-0255,0.0601137007185165,0.850901299741602,722,4-8
V3,da,horiz-vert,sub-wlsubj123,-0.0615190560858842,1.34625354272939,690,4-8
V3,da,card-obl,sub-wlsubj123,-0.00199318085378725,1.34625354272939,690,4-8
V3,da,rad-tang,sub-wlsubj123,0.136776051151592,1.34625354272939,690,4-8
V3,da,polc-polo,sub-wlsubj123,-0.055052442571729,1.34625354272939,690,4-8
V3,da,horiz-vert,sub-wlsubj124,-0.00525482079300062,0.881766580479365,575,4-8
V3,da,card-obl,sub-wlsubj124,-0.0205844421809704,0.881766580479365,575,4-8
V3,da,rad-tang,sub-wlsubj124,0.118474214033567,0.881766580479365,575,4-8
V3,da,polc-polo,sub-wlsubj124,-0.0516389049512921,0.881766580479365,575,4-8
V3,da,horiz-vert,sub-0426,-0.0312272842021225,1.14136177397119,414,4-8
V3,da,card-obl,sub-0426,0.0302804176052204,1.14136177397119,414,4-8
V3,da,rad-tang,sub-0426,0.101085928808391,1.14136177397119,414,4-8
V3,da,polc-polo,sub-0426,0.0405995398600537,1.14136177397119,414,4-8
V3,da,horiz-vert,sub-0250,-0.0435881062083617,0.749791122152869,512,4-8
V3,da,card-obl,sub-0250,-0.0357062368149326,0.749791122152869,512,4-8
V3,da,rad-tang,sub-0250,0.128492014947243,0.749791122152869,512,4-8
V3,da,polc-polo,sub-0250,-0.0579239407611928,0.749791122152869,512,4-8
V3,dg,horiz-vert,sub-0037,-0.114929378550707,1.06382015866124,1900,2-10
V3,dg,card-obl,sub-0037,-0.159521965020305,1.06382015866124,1900,2-10
V3,dg,rad-tang,sub-0037,0.121626012454267,1.06382015866124,1900,2-10
V3,dg,polc-polo,sub-0037,0.0222433833865508,1.06382015866124,1900,2-10
V3,dg,horiz-vert,sub-0201,-0.0391143248464981,1.08960504659305,1685,2-10
V3,dg,card-obl,sub-0201,0.00343937932535395,1.08960504659305,1685,2-10
V3,dg,rad-tang,sub-0201,0.0054064505672183,1.08960504659305,1685,2-10
V3,dg,polc-polo,sub-0201,0.00325534624075566,1.08960504659305,1685,2-10
V3,dg,horiz-vert,sub-0255,-0.0467701235667362,0.887967789694283,1723,2-10
V3,dg,card-obl,sub-0255,-0.0544194398628523,0.887967789694283,1723,2-10
V3,dg,rad-tang,sub-0255,0.0738537469509326,0.887967789694283,1723,2-10
V3,dg,polc-polo,sub-0255,0.00616350610800062,0.887967789694283,1723,2-10
V3,dg,horiz-vert,sub-wlsubj123,-0.10184709659684,1.16768801947864,1668,2-10
V3,dg,card-obl,sub-wlsubj123,-0.0377810062345161,1.16768801947864,1668,2-10
V3,dg,rad-tang,sub-wlsubj123,0.10361328238579,1.16768801947864,1668,2-10
V3,dg,polc-polo,sub-wlsubj123,-0.0101514399659375,1.16768801947864,1668,2-10
V3,dg,horiz-vert,sub-wlsubj124,-0.182953667877973,0.931690889522906,1464,2-10
V3,dg,card-obl,sub-wlsubj124,-0.216488187260948,0.931690889522906,1464,2-10
V3,dg,rad-tang,sub-wlsubj124,0.0464039597698016,0.931690889522906,1464,2-10
V3,dg,polc-polo,sub-wlsubj124,0.0769744871230633,0.931690889522906,1464,2-10
V3,dg,horiz-vert,sub-0426,-0.25045628791506,1.1511558836751,940,2-10
