subject,area,eccBand,nVertices,meanGain_mov,meanGain_stat,meanGain_avg,medianGain_avg
sub-0426,V2,2-10,1722,2.40863339468138,3.295634106695,2.81744110249647,2.37486616525524
sub-0426,V2,1-12,2391,2.30196256922217,3.12601929896506,2.68253227695096,2.29204332244408
sub-0426,V2,0-Inf,3400,2.31010321389281,3.08284024391392,2.66864743931896,2.25173787628092
sub-0426,V3,4-8,414,2.36351227611578,3.15142959887573,2.72918349406144,1.90805848662617
sub-0426,V3,2-10,940,2.21695190823066,3.02426261456449,2.58933288210485,1.81713184578858
sub-0426,V3,1-12,1354,2.06812892246132,2.80278773782453,2.407597637504,1.81703403006218
sub-0426,V3,0-Inf,2078,1.93051162375829,2.57090101055774,2.22781379033654,1.76374458015717
sub-0426,V3a,4-8,205,1.98821089796414,2.77907081730009,2.35061244895243,1.99385931654224
sub-0426,V3a,2-10,372,2.01410676685535,2.80461728632819,2.37672014651138,1.90709063258754
sub-0426,V3a,1-12,434,1.92479909971089,2.66856314214619,2.26637329968491,1.8183424412551
sub-0426,V3a,0-Inf,680,1.80220058249663,2.51859264266775,2.13049504286857,1.79985821932011
sub-0426,V3b,4-8,76,1.15552335402548,1.84416346156451,1.45978558304919,1.29130588973921
sub-0426,V3b,2-10,120,1.2597780344795,1.94458217595419,1.56516513873375,1.41961587622933
sub-0426,V3b,1-12,161,1.17660179894366,1.84707645792251,1.47420266014483,1.28038814834048
sub-0426,V3b,0-Inf,188,1.17239415639548,1.84547925259673,1.47092796951228,1.28986468492571
sub-0426,hV4,4-8,126,1.55117586841415,2.69157757714213,2.04330863689936,1.99262059845678
sub-0426,hV4,2-10,397,2.08161994620944,3.27259053959333,2.61003634897941,2.0931373895279
sub-0426,hV4,1-12,697,2.17664744282914,3.06243333306667,2.58182836053335,2.0312466971508
sub-0426,hV4,0-Inf,1420,1.9395817162353,2.4090800280024,2.16162151526605,1.74366671734697
sub-0426,MT,4-8,21,1.25486634941322,1.80141978923333,1.50350958582776,1.31430213311568
sub-0426,MT,2-10,77,1.31393391737314,1.78882556194832,1.53310096800829,1.41263468501141
sub-0426,MT,1-12,131,1.36827554587317,1.79992120630845,1.56932729890562,1.46087246949616
sub-0426,MT,0-Inf,422,1.64757709972359,1.864487958092,1.75268013695105,1.57519045511648
sub-0426,MST,4-8,44,1.29657905661885,1.7946390997847,1.52541517986748,1.3820496749271
sub-0426,MST,2-10,115,1.61780093195126,2.16994971051427,1.87364528765648,1.68623902431953
sub-0426,MST,1-12,155,1.60367016001626,2.10116458965392,1.83564020268428,1.66748099561901
sub-0426,MST,0-Inf,187,1.55381547168209,2.01058326767349,1.76750541397083,1.57767412901182
sub-0250,V1,4-8,1391,6.00965085113898,5.23487395374946,5.6089004904487,4.84348004915879
sub-0250,V1,2-10,2877,5.68806517474533,5.07456508820757,5.37256521181567,4.69641083067628
sub-0250,V1,1-12,3864,5.2762867970665,4.75444094519648,5.00857205065202,4.41573492130799
sub-0250,V1,0-Inf,4722,4.98872838244763,4.49407316798898,4.73494565607072,4.20761791642913
sub-0250,V2,4-8,1213,5.58718733359929,4.88403628704277,5.22379418428834,4.63907308807231
sub-0250,V2,2-10,2861,5.24763984052709,4.64899043732108,4.93925373281385,4.4933645127839
sub-0250,V2,1-12,3970,4.87475189353505,4.36549172535984,4.61309972300724,4.13618801618989
sub-0250,V2,0-Inf,5119,4.61168092474978,4.1374214980111,4.36811948096975,3.8494280027172
sub-0250,V3,4-8,512,4.35884754879799,3.95967782077394,4.154471321734,3.87081361405991
sub-0250,V3,2-10,1389,3.96960041456712,3.7190493852935,3.84228317301792,3.51951430368028
sub-0250,V3,1-12,2335,3.67939433224997,3.43499368122032,3.55509441252922,3.23997531122206
sub-0250,V3,0-Inf,3780,3.35246034104551,3.13488138143871,3.24184600268971,2.84750274711034
sub-0250,V3a,4-8,353,2.4975097914271,1.94839670116867,2.2059328726761,2.13266301995959
sub-0250,V3a,2-10,701,2.69414439617392,2.17861271819352,2.42270453133565,2.26636184940062
sub-0250,V3a,1-12,888,2.64314455747704,2.15332566652765,2.38569717608044,2.24394099981304
sub-0250,V3a,0-Inf,1105,2.63402295013419,2.06003211291101,2.32941448939879,2.17233892439729
sub-0250,V3b,4-8,197,3.48706938742953,2.94307082760459,3.20354369222223,3.51072071805691
sub-0250,V3b,2-10,326,2.824362025542,2.37263150883455,2.58866188100275,2.60893949650262
sub-0250,V3b,1-12,429,2.64408940937767,2.23210230857352,2.42937812510665,2.24617564586536
sub-0250,V3b,0-Inf,588,2.47304901556101,2.11819687421466,2.28875614571342,2.08562075966923
sub-0250,hV4,4-8,10,3.80908434987986,3.33218098445423,3.56266170704599,3.50346106468534
sub-0250,hV4,2-10,124,4.04515770824883,3.8080723196038,3.92482523142296,3.43452342813493
sub-0250,hV4,1-12,229,3.82431651796208,3.79280081666516,3.80852606824643,3.51594527000183
sub-0250,hV4,0-Inf,802,2.44561351451932,2.56839666846917,2.50625329985909,1.97288667739598
sub-0250,MT,4-8,102,2.70245204425962,1.36228696886193,1.91872749599029,1.59392232703387
sub-0250,MT,2-10,234,2.7584767355054,1.28803907199682,1.88494716491609,1.51051109447902
sub-0250,MT,1-12,313,2.61990980688489,1.32958976648382,1.86638829516924,1.53970934780212
sub-0250,MT,0-Inf,469,2.46428944118136,1.5900194820057,1.97946159871297,1.63258140847897
sub-0250,MST,4-8,171,2.18715374192144,1.10248727184315,1.55283906507806,1.56188253873144
sub-0250,MST,2-10,417,1.96182294976253,0.907483566121579,1.3342871079905,1.2661458652135
sub-0250,MST,1-12,482,1.91508439019981,0.889141162347058,1.30490626509913,1.22370798398039
sub-0250,MST,0-Inf,634,1.84473036407861,0.852044359032491,1.25371133066952,1.14193980882346
